timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561733147224,10,HTTP Request,200,OK,Thread Group 1-7,text,true,,12603,118,4,4,http://127.0.0.1:9090/,10,0,0
1561733147231,3,HTTP Request,200,OK,Thread Group 1-9,text,true,,12604,118,4,4,http://127.0.0.1:9090/,3,0,0
1561733147224,12,HTTP Request,200,OK,Thread Group 1-6,text,true,,12604,118,4,4,http://127.0.0.1:9090/,12,0,0
1561733147235,6,HTTP Request,200,OK,Thread Group 1-9,text,true,,12603,118,4,4,http://127.0.0.1:9090/,6,0,0
1561733147236,5,HTTP Request,200,OK,Thread Group 1-6,text,true,,12604,118,4,4,http://127.0.0.1:9090/,5,0,0
1561733147235,7,HTTP Request,200,OK,Thread Group 1-7,text,true,,12604,118,3,3,http://127.0.0.1:9090/,7,0,0
1561733147235,10,HTTP Request,200,OK,Thread Group 1-8,text,true,,12604,118,3,3,http://127.0.0.1:9090/,10,0,0
1561733147241,5,HTTP Request,200,OK,Thread Group 1-9,text,true,,12602,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147242,4,HTTP Request,200,OK,Thread Group 1-7,text,true,,12603,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147246,4,HTTP Request,200,OK,Thread Group 1-7,text,true,,12604,118,3,3,http://127.0.0.1:9090/,4,0,0
1561733147246,4,HTTP Request,200,OK,Thread Group 1-9,text,true,,12604,118,2,2,http://127.0.0.1:9090/,4,0,0
1561733147246,5,HTTP Request,200,OK,Thread Group 1-8,text,true,,12602,118,2,2,http://127.0.0.1:9090/,5,0,0
1561733147251,5,HTTP Request,200,OK,Thread Group 1-9,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147252,5,HTTP Request,200,OK,Thread Group 1-10,text,true,,12603,118,3,3,http://127.0.0.1:9090/,5,0,0
1561733147251,8,HTTP Request,200,OK,Thread Group 1-8,text,true,,12604,118,3,3,http://127.0.0.1:9090/,8,0,0
1561733147257,4,HTTP Request,200,OK,Thread Group 1-9,text,true,,12602,118,3,3,http://127.0.0.1:9090/,4,0,0
